The document id, The normalized weight of the word in the document


004.html, 2.629
012.html, 4.899
021.html, 2.457
043.html, 0.258
225.html, 3.316
282.html, 0.070
376.html, 0.035
434.html, 0.036
436.html, 0.047
433.html, 0.031
437.html, 0.043
433.html, 0.031
434.html, 0.036
435.html, 0.018
437.html, 0.022
437.html, 0.086
373.html, 0.243
373.html, 0.243
433.html, 0.031
435.html, 0.037
437.html, 0.086
436.html, 0.093
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.061
433.html, 0.061
433.html, 0.015
434.html, 0.018
436.html, 0.023
437.html, 0.022
433.html, 0.020
434.html, 0.024
436.html, 0.031
433.html, 0.031
435.html, 0.018
436.html, 0.023
437.html, 0.022
152.html, 0.540
437.html, 0.086
064.html, 3.869
281.html, 0.548
308.html, 0.249
333.html, 0.272
433.html, 0.012
434.html, 0.015
435.html, 0.015
437.html, 0.017
152.html, 0.270
249.html, 0.260
494.html, 7.397
059.html, 3.224
134.html, 4.931
201.html, 9.315
433.html, 0.049
434.html, 0.058
435.html, 0.059
436.html, 0.037
437.html, 0.104
436.html, 0.093
192.html, 18.630
044.html, 2.197
433.html, 0.012
434.html, 0.029
435.html, 0.029
436.html, 0.037
437.html, 0.035
370.html, 0.224
435.html, 0.073
433.html, 0.061
352.html, 0.339
370.html, 0.224
434.html, 0.073
433.html, 0.061
362.html, 0.619
086.html, 0.850
150.html, 0.423
325.html, 0.230
349.html, 0.121
103.html, 5.782
043.html, 0.201
353.html, 0.314
343.html, 0.322
454.html, 1.413
479.html, 1.623
477.html, 7.085
238.html, 2.676
383.html, 1.156
359.html, 0.242
345.html, 0.259
020.html, 7.452
029.html, 0.122
194.html, 8.404
204.html, 1.538
433.html, 0.014
434.html, 0.024
435.html, 0.016
436.html, 0.031
437.html, 0.019
005.html, 0.204
341.html, 0.089
365.html, 0.076
336.html, 0.031
337.html, 0.013
338.html, 0.025
339.html, 0.008
340.html, 0.007
341.html, 0.015
342.html, 0.021
343.html, 0.028
344.html, 0.021
345.html, 0.015
346.html, 0.007
347.html, 0.016
349.html, 0.014
350.html, 0.048
352.html, 0.039
353.html, 0.009
354.html, 0.029
355.html, 0.028
358.html, 0.022
359.html, 0.007
360.html, 0.034
361.html, 0.007
362.html, 0.018
363.html, 0.016
364.html, 0.022
365.html, 0.020
367.html, 0.019
368.html, 0.008
369.html, 0.007
371.html, 0.036
372.html, 0.023
373.html, 0.014
374.html, 0.020
375.html, 0.022
377.html, 0.014
179.html, 0.738
359.html, 0.242
359.html, 0.242
304.html, 0.494
304.html, 0.494
429.html, 0.582
431.html, 0.574
337.html, 0.071
341.html, 0.020
346.html, 0.018
347.html, 0.021
357.html, 0.045
359.html, 0.037
360.html, 0.036
362.html, 0.024
363.html, 0.021
372.html, 0.021
373.html, 0.019
375.html, 0.020
376.html, 0.019
433.html, 0.012
434.html, 0.015
435.html, 0.015
436.html, 0.019
437.html, 0.017
433.html, 0.061
371.html, 0.156
373.html, 0.122
182.html, 0.940
247.html, 0.207
267.html, 0.118
315.html, 0.231
423.html, 0.418
433.html, 0.018
434.html, 0.022
435.html, 0.022
436.html, 0.028
